YEAR,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,TERRITORY,lon,lat,albumin_urine,bun,creatinine_serum,creatinine_urine
2020,72001,72,Puerto Rico,Adjuntas,,1,-66.75,18.175,21.32915134,17.36609626,0.971246303,125.810307
2020,72003,72,Puerto Rico,Aguada,,1,-67.175,18.365,14.48400204,17.53381178,0.910309094,113.4602377
2020,72005,72,Puerto Rico,Aguadilla,,1,-67.115,18.465,7.459676007,17.77380855,0.945469474,120.6486247
2020,72007,72,Puerto Rico,Aguas Buenas,,1,-66.13,18.25,8.161645951,16.84839006,0.92464497,109.3248377
2020,72009,72,Puerto Rico,Aibonito,,1,-66.255,18.135,5.466233333,18.70989899,0.914294835,110.8489744
2020,72011,72,Puerto Rico,Añasco,,1,-67.12,18.29,0,0,0,0
2020,72013,72,Puerto Rico,Arecibo,,1,-66.67,18.42,16.00099942,18.75077247,1.03757232,121.9314081
2020,72015,72,Puerto Rico,Arroyo,,1,-66.05,17.98,24.64409654,16.01723014,0.902005457,125.906917
2020,72017,72,Puerto Rico,Barceloneta,,1,-66.56,18.45,12.5647071,16.90428539,0.929301215,143.4570543
2020,72019,72,Puerto Rico,Barranquitas,,1,-66.305,18.2,6.674931575,16.95739684,0.849812173,123.7493252
2020,72021,72,Puerto Rico,Bayamón,,1,-66.165,18.35,9.769815326,17.28882345,0.898739848,122.369245
2020,72023,72,Puerto Rico,Cabo Rojo,,1,-67.145,18.03,6.199260111,17.85425339,0.922840175,111.075021
2020,72025,72,Puerto Rico,Caguas,,1,-66.05,18.225,5.240023658,17.37949703,0.921959525,98.93745265
2020,72027,72,Puerto Rico,Camuy,,1,-66.865,18.425,6.476930879,19.91848289,1.057566919,113.187812
2020,72029,72,Puerto Rico,Canóvanas,,1,-65.885,18.33,11.1932204,16.99128992,0.888032462,132.9840807
2020,72031,72,Puerto Rico,Carolina,,1,-65.955,18.385,12.27969035,16.27484581,0.887176789,122.617461
2020,72033,72,Puerto Rico,Cataño,,1,-66.145,18.435,14.64599562,16.77549421,0.906108033,122.4168144
2020,72035,72,Puerto Rico,Cayey,,1,-66.145,18.105,9.696931792,18.22085629,0.956428631,125.9465587
2020,72037,72,Puerto Rico,Ceiba,,1,-65.66,18.245,8.702062441,17.43105359,0.896353041,128.058629
2020,72039,72,Puerto Rico,Ciales,,1,-66.515,18.3,10.42228351,17.75061073,0.919531514,126.3863265
2020,72041,72,Puerto Rico,Cidra,,1,-66.16,18.18,6.914688259,17.35024423,0.914175379,115.263687
2020,72043,72,Puerto Rico,Coamo,,1,-66.355,18.1,17.11246583,16.99215066,0.914424739,140.9726446
2020,72045,72,Puerto Rico,Comerío,,1,-66.215,18.23,13.90593281,16.64585401,0.873883588,120.972
2020,72047,72,Puerto Rico,Corozal,,1,-66.325,18.31,13.95405374,15.96668675,0.869559524,124.5279683
2020,72049,72,Puerto Rico,Culebra,,1,-65.285,18.32,9.432666667,15.83944828,0.84345679,112.448125
2020,72051,72,Puerto Rico,Dorado,,1,-66.265,18.435,11.26805747,16.41473013,0.879929466,120.9408545
